CountryName,Year,AverageTemperature,NormalizedTemperature,TotalWasteGenerated,OrganicWastePercent,GlassWastePercent,MetalWastePercent,PaperWastePercent,PlasticWastePercent
Samoa,1910,25.87775,0.9087906373130064,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1911,25.921916666666664,0.9096183368237264,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1912,26.02925,0.911629802804496,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1913,25.831666666666667,0.9079270187669152,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1914,26.06266666666667,0.9122560433777012,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1915,25.768,0.906733882113726,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1916,26.013583333333333,0.9113362037327686,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1917,25.59358333333333,0.9034652498949758,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1918,25.94441666666667,0.910039995065037,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1919,26.156,0.914005144230544,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1920,26.060666666666663,0.9122185626451402,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1921,25.95341666666667,0.9102086583615612,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1922,26.035416666666663,0.9117453683965586,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1923,25.6705,0.9049066964013812,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1924,26.068250000000003,0.912360677089434,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1925,25.844166666666663,0.908161273345421,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1926,26.205916666666667,0.9149406008473768,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1927,26.6165,0.9226350829026956,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1928,26.3895,0.9183810197570312,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1929,26.326000000000004,0.9171910064982222,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1930,26.251333333333335,0.9157917258159478,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1931,26.134416666666667,0.913600664658324,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1932,26.521583333333336,0.920856309803242,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1933,26.414,0.9188401587309024,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1934,26.481083333333338,0.9200973249688832,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1935,26.686166666666665,0.9239406617535674,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1936,26.587416666666662,0.922090050583372,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1937,26.65125,0.9232863106309416,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1938,26.567333333333337,0.9217136815605728,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1939,26.222250000000003,0.9152466934966244,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1940,26.436166666666665,0.9192555701834526,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1941,26.69483333333333,0.9241030782613314,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1942,26.394416666666668,0.9184731598912436,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1943,26.328,0.9172284872307832,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1944,26.297749999999997,0.916661591150799,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1945,26.365,0.9179218807831598,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1946,26.542333333333332,0.9212451724035612,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1947,26.739333333333335,0.9249370245608118,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1948,26.417333333333332,0.918902626618504,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1949,26.56866666666667,0.9217386687156136,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1950,26.274583333333336,0.9162274393319686,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1951,26.434583333333336,0.919225897936842,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1952,26.768833333333333,0.9254898653660854,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1953,26.670583333333337,0.9236486243790304,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1954,26.562,0.9216137329404104,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1955,26.385416666666668,0.9183044965947196,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1956,26.226166666666668,0.9153200932645564,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1957,26.478916666666667,0.9200567208419422,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
